*******************************************************************************
 Revised: June 02, 2025                 Mars                            499 / 4
 
 PHYSICAL DATA (updated 2025-Jun-02):
  Vol. mean radius (km) = 3389.92+-0.04   Density (g/cm^3)      =  3.933(5+-4)
  Mass x10^23 (kg)      =    6.4171       Flattening, f         =  1/169.779
  Volume (x10^10 km^3)  =   16.318        Equatorial radius (km)=  3396.19
  Sidereal rot. period  =   24.622962 hr  Sid. rot. rate, rad/s =  0.0000708822 
  Mean solar day (sol)  =   88775.24415 s Polar gravity m/s^2   =  3.758
  Core radius (km)      = ~1700           Equ. gravity  m/s^2   =  3.71
  Geometric Albedo      =    0.150                                              

  GM (km^3/s^2)         = 42828.375662    Mass ratio (Sun/Mars) = 3098703.59
  GM 1-sigma (km^3/s^2) = +- 0.00028      Mass of atmosphere, kg= ~ 2.5 x 10^16
  Mean temperature (K)  =  210            Atmos. pressure (bar) =    0.0056 
  Obliquity to orbit    =   25.19 deg     Max. angular diam.    =  17.9"
  Mean sidereal orb per =    1.88081578 y Visual mag. V(1,0)    =  -1.52
  Mean sidereal orb per =  686.98 d       Orbital speed,  km/s  =  24.13
  Hill's sphere rad. Rp =  319.8          Escape speed, km/s    =   5.027
                                 Perihelion  Aphelion    Mean
  Solar Constant (W/m^2)         717         493         589
  Maximum Planetary IR (W/m^2)   470         315         390
  Minimum Planetary IR (W/m^2)    30          30          30
*******************************************************************************


*******************************************************************************
Ephemeris / WWW_USER Wed Apr 29 10:42:10 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Mars (499)                      {source: mar099}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2000-Jan-01 00:00:00.0000 TDB
Stop  time      : A.D. 2026-Mar-25 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2451544.500000000, A.D. 2000-Jan-01 00:00:00.0000,  2.079950549836171E+08, -3.143009713942494E+06, -5.178781243488781E+06,  1.295003552976085E+00,  2.629442066947034E+01,  5.190097459225722E-01,
2451545.500000000, A.D. 2000-Jan-02 00:00:00.0000,  2.080955104854954E+08, -8.710401509671479E+05, -5.133655015132343E+06,  1.030383275820250E+00,  2.629698526165860E+01,  5.255680575527037E-01,
2451546.500000000, A.D. 2000-Jan-03 00:00:00.0000,  2.081731105575793E+08,  1.401026122830543E+06, -5.087964955243587E+06,  7.659487197315723E-01,  2.629666045043317E+01,  5.320612821415764E-01,
2451547.500000000, A.D. 2000-Jan-04 00:00:00.0000,  2.082278728144266E+08,  3.672939746445830E+06, -5.041716720998199E+06,  5.017361190688218E-01,  2.629345286766451E+01,  5.384886604331882E-01,
2451548.500000000, A.D. 2000-Jan-05 00:00:00.0000,  2.082598179915583E+08,  5.944451956294073E+06, -4.994916033751185E+06,  2.377815206105206E-01,  2.628736969663183E+01,  5.448494465783984E-01,
2451549.500000000, A.D. 2000-Jan-06 00:00:00.0000,  2.082689699283533E+08,  8.215314632970308E+06, -4.947568677659942E+06, -2.587924379075134E-02,  2.627841866733858E+01,  5.511429170983586E-01,
2451550.500000000, A.D. 2000-Jan-07 00:00:00.0000,  2.082553555501299E+08,  1.048528034733338E+07, -4.899680498321694E+06, -2.892105706934590E-01,  2.626660805028565E+01,  5.573683729226584E-01,
2451551.500000000, A.D. 2000-Jan-08 00:00:00.0000,  2.082190048492744E+08,  1.275410240593227E+07, -4.851257401341533E+06, -5.521770882797278E-01,  2.625194664048527E+01,  5.635251358135775E-01,
2451552.500000000, A.D. 2000-Jan-09 00:00:00.0000,  2.081599508654510E+08,  1.502153489595824E+07, -4.802305350829860E+06, -8.147436572428010E-01,  2.623444373315703E+01,  5.696125434424690E-01,
2451553.500000000, A.D. 2000-Jan-10 00:00:00.0000,  2.080782296651175E+08,  1.728733272978175E+07, -4.752830367932474E+06, -1.076875371568154E+00,  2.621410911226507E+01,  5.756299453577007E-01,
2451554.500000000, A.D. 2000-Jan-11 00:00:00.0000,  2.079738803204666E+08,  1.955125168893808E+07, -4.702838529455059E+06, -1.338537563516569E+00,  2.619095306434831E+01,  5.815767022900058E-01,
